index,file,category,flag
56,IMG-20260911-WA0110.jpg,"Burglar Proofing & Window Grilles",
57,IMG-20260911-WA0111.jpg,"Gates",
58,IMG-20260911-WA0112.jpg,"Gates",
59,IMG-20260911-WA0113.jpg,"Aluminium Doors & Windows",
60,IMG-20260911-WA0115.jpg,"Burglar Proofing & Window Grilles",
61,IMG-20260911-WA0116.jpg,"Gates",
62,IMG-20260911-WA0117.jpg,"Gates",
63,IMG-20260911-WA0118.jpg,"Gates",
64,IMG-20260911-WA0119.jpg,"Gates",
65,IMG-20260911-WA0120.jpg,"Gates",
66,IMG-20260911-WA0121.jpg,"Gates",
67,IMG-20260911-WA0122.jpg,"Gates",
68,IMG-20260911-WA0125.jpg,"Gates",
69,IMG-20260911-WA0126.jpg,"Gypsum Ceiling",
70,IMG-20260911-WA0127.jpg,"Gypsum Ceiling",
71,IMG-20260911-WA0128.jpg,"Gypsum Ceiling",
72,IMG-20260911-WA0129.jpg,"Gypsum Ceiling",
73,IMG-20260911-WA0130.jpg,"Gypsum Ceiling",
74,IMG-20260911-WA0131.jpg,"Gypsum Ceiling",
75,IMG-20260911-WA0132.jpg,"Gypsum Ceiling",
76,IMG-20260911-WA0134.jpg,"Gates",
77,IMG-20260911-WA0135.jpg,"Gypsum & Aluminium Partitions",
78,IMG-20260911-WA0136.jpg,"Steel Fabrication & Structures",
79,IMG-20260911-WA0137.jpg,"Steel Fabrication & Structures",
80,IMG-20260911-WA0138.jpg,"Metal Fabrication",
81,IMG-20260911-WA0139.jpg,"Construction Works",
82,IMG-20260911-WA0140.jpg,"Construction Works",
83,IMG-20260911-WA0141.jpg,"Construction Works",
84,IMG-20260911-WA0142.jpg,"Collapsible Burglar Proofing",
85,IMG-20260911-WA0143.jpg,"Pergola Shades",
86,IMG-20260911-WA0144.jpg,"CNC Plate Design",
87,IMG-20260911-WA0145.jpg,"CNC Plate Design",
88,IMG-20260911-WA0146.jpg,"Pergola Shades",
89,IMG-20260911-WA0148.jpg,"Pergola Shades",
90,IMG-20260911-WA0149.jpg,"Steel Fabrication & Structures",
91,IMG-20260911-WA0150.jpg,"Steel Fabrication & Structures",
92,IMG-20260911-WA0151.jpg,"Steel Fabrication & Structures",
93,IMG-20260911-WA0152.jpg,"Steel Fabrication & Structures",
94,IMG-20260911-WA0154.jpg,"Steel Fabrication & Structures",
95,IMG-20260911-WA0155.jpg,"Steel Fabrication & Structures",
96,IMG-20260911-WA0156.jpg,"Carport Shades",
97,IMG-20260911-WA0157.jpg,"CNC Plate Design",
98,IMG-20260911-WA0158.jpg,"Carport Shades",
99,IMG-20260911-WA0159.jpg,"Carport Shades",
100,IMG-20260911-WA0160.jpg,"Balustrades & Railings",check-ownership
101,IMG-20260911-WA0161.jpg,"Balustrades & Railings",
102,IMG-20260911-WA0162.jpg,"Balustrades & Railings",
103,IMG-20260911-WA0163.jpg,"Balustrades & Railings",check-ownership
104,IMG-20260911-WA0164.jpg,"Balustrades & Railings",check-ownership
105,IMG-20260911-WA0165.jpg,"Balustrades & Railings",check-ownership
106,IMG-20260911-WA0166.jpg,"Balustrades & Railings",check-ownership
107,IMG-20260911-WA0167.jpg,"Balustrades & Railings",check-ownership
108,IMG-20260911-WA0168.jpg,"Collapsible Burglar Proofing",
109,IMG-20260911-WA0169.jpg,"Collapsible Burglar Proofing",
110,IMG-20260911-WA0170.jpg,"Collapsible Burglar Proofing",
111,IMG-20260911-WA0171.jpg,"Roller Shutters",
112,IMG-20260911-WA0172.jpg,"Roller Shutters",
113,IMG-20260911-WA0173.jpg,"Roller Shutters",
114,IMG-20260911-WA0174.jpg,"Roller Shutters",
115,IMG-20260911-WA0175.jpg,"Roller Shutters",
116,IMG-20260911-WA0176.jpg,"Roller Shutters",
117,IMG-20260911-WA0177.jpg,"Steel Fabrication & Structures",
118,IMG-20260911-WA0178.jpg,"CNC Plate Design",
119,IMG-20260911-WA0179.jpg,"Fencing & Boundary Walls",
120,IMG-20260911-WA0181.jpg,"Fencing & Boundary Walls",
121,IMG-20260911-WA0183.jpg,"Fencing & Boundary Walls",
122,IMG-20260911-WA0184.jpg,"Fencing & Boundary Walls",
123,IMG-20260911-WA0186.jpg,"Steel Fabrication & Structures",
124,IMG-20260911-WA0187.jpg,"Steel Shelving & Racking",
125,IMG-20260911-WA0188.jpg,"Steel Shelving & Racking",
126,IMG-20260911-WA0189.jpg,"Steel Shelving & Racking",
127,IMG-20260911-WA0190.jpg,"Steel Shelving & Racking",
128,IMG-20260911-WA0192.jpg,"Fencing & Boundary Walls",
129,IMG-20260911-WA0193.jpg,"Fencing & Boundary Walls",
201,Pictures/IMG-20260913-WA0038.jpg,"Not a photo",graphic-not-photo
202,Pictures/IMG-20260913-WA0039.jpg,"Not a photo",screenshot-of-another-site
203,Pictures/IMG-20260913-WA0040.jpg,"Signage",
204,Pictures/IMG-20260913-WA0041.jpg,"Signage",check-ownership
205,Pictures/IMG-20260913-WA0042.jpg,"Signage",check-ownership
206,Pictures/IMG-20260913-WA0043.jpg,"Signage",
207,Pictures/IMG-20260913-WA0044.jpg,"Signage",
208,Pictures/IMG-20260913-WA0045.jpg,"Signage",
209,Pictures/IMG-20260913-WA0046.jpg,"Signage",check-ownership
210,Pictures/IMG-20260913-WA0047.jpg,"Signage",
211,Pictures/IMG-20260913-WA0048.jpg,"Steel & Security Doors",
212,Pictures/IMG-20260913-WA0049.jpg,"Steel & Security Doors",
213,Pictures/IMG-20260913-WA0050.jpg,"Steel & Security Doors",
214,Pictures/IMG-20260913-WA0051.jpg,"Steel & Security Doors",
215,Pictures/IMG-20260913-WA0052.jpg,"Steel & Security Doors",
216,Pictures/IMG-20260913-WA0053.jpg,"Steel & Security Doors",
217,Pictures/IMG-20260914-WA0002.jpg,"ACP Cladding",
218,Pictures/IMG-20260914-WA0003.jpg,"ACP Cladding",
219,Pictures/IMG-20260914-WA0004.jpg,"Curtain Wall",check-ownership
220,Pictures/IMG-20260914-WA0005.jpg,"ACP Cladding",
221,Pictures/IMG-20260914-WA0006.jpg,"ACP Cladding",
222,Pictures/IMG-20260914-WA0007.jpg,"ACP Cladding",
